CN	2015-10-06	National Day Golden Week holiday
CN	2016-02-13	Spring Festival Golden Week holiday
CN	2016-02-12	Spring Festival Golden Week holiday
CN	2015-02-24	Spring Festival Golden Week holiday
CN	2015-02-23	Spring Festival Golden Week holiday
CN	2015-02-22	Spring Festival Golden Week holiday
CN	2015-02-21	Spring Festival Golden Week holiday
CN	2015-10-10	Special Working Day
CN	2015-02-28	Special Working Day
CN	2015-02-15	Special Working Day
CN	2015-01-04	Special Working Day
CN	2014-10-11	Special Working Day
CN	2014-02-08	Special Working Day
CN	2014-01-26	Special Working Day
CN	2015-04-06	Qing Ming Jie holiday
CN	2015-04-04	Qing Ming Jie holiday
CN	2015-01-03	New Year's weekend
CN	2015-01-02	New Year's weekend
CN	2015-10-07	National Day Golden Week holiday
CN	2015-10-05	National Day Golden Week holiday
CN	2015-10-04	National Day Golden Week holiday
CN	2015-06-22	Dragon Boat Festival holiday
CN	2015-06-21	Dragon Boat Festival holiday
CN	2014-11-12	APEC Summit (Beijing)
CN	2014-11-11	APEC Summit (Beijing)
CN	2014-11-10	APEC Summit (Beijing)
CN	2014-11-09	APEC Summit (Beijing)
CN	2014-11-08	APEC Summit (Beijing)
CN	2014-11-07	APEC Summit (Beijing)
CN	2016-03-10	Zhonghe Festival
CN	2015-03-21	Zhonghe Festival
CN	2014-03-02	Zhonghe Festival
CN	2016-05-04	Youth Day
CN	2015-05-04	Youth Day
CN	2014-05-04	Youth Day
CN	2015-09-10	Teachers' Day
CN	2015-02-18	Spring Festival Eve
CN	2014-05-01	Labour Day
CN	2016-08-01	Army Day
CN	2014-04-05	Qing Ming Jie
CN	2016-10-02	National Day Golden Week holiday
CN	2015-10-02	National Day Golden Week holiday
CN	2014-10-02	National Day Golden Week holiday
CN	2015-10-01	National Day
CN	2016-02-22	Lantern Festival
CN	2015-05-03	Labour Day Holiday
CN	2016-05-01	Labour Day
CN	2014-06-01	Dragon Boat Festival holiday
CN	2015-06-20	Dragon Boat Festival
CN	2015-02-19	Chinese New Year
CN	2015-03-12	Arbor Day
CN	2014-01-30	Spring Festival Eve
CN	2014-04-07	Qing Ming Jie holiday
CN	2016-04-04	Qing Ming Jie
CN	2015-04-05	Qing Ming Jie
CN	2014-10-03	National Day Golden Week holiday
CN	2014-09-08	Mid-Autumn Festival
CN	2015-07-11	Maritime Day
CN	2016-08-09	Double Seven Festival
CN	2015-08-20	Double Seven Festival
CN	2015-07-01	CPC Founding Day
CN	2016-02-08	Chinese New Year
CN	2014-03-12	Arbor Day
CN	2016-02-09	Spring Festival Golden Week holiday
CN	2015-02-20	Spring Festival Golden Week holiday
CN	2014-01-01	New Year's Day
CN	2016-10-01	National Day
CN	2016-07-11	Maritime Day
CN	2015-03-05	Lantern Festival
CN	2014-02-14	Lantern Festival
CN	2015-05-02	Labour Day Holiday
CN	2014-05-03	Labour Day Holiday
CN	2014-05-02	Labour Day Holiday
CN	2016-11-08	Journalists' Day
CN	2014-05-31	Dragon Boat Festival holiday
CN	2014-06-02	Dragon Boat Festival
CN	2016-10-09	Double Ninth Festival
CN	2016-12-25	Christmas Day
CN	2016-06-01	Children's Day
CN	2015-08-01	Army Day
CN	2016-03-12	Arbor Day
CN	2016-02-07	Spring Festival Eve
CN	2014-08-10	Spirit Festival
CN	2014-04-06	Qing Ming Jie holiday
CN	2015-01-01	New Year's Day
CN	2014-10-01	National Day
CN	2014-09-06	Mid-Autumn Festival holiday
CN	2015-09-27	Mid-Autumn Festival
CN	2015-05-01	Labour Day
CN	2014-11-08	Journalists' Day
CN	2014-07-01	CPC Founding Day
CN	2014-12-25	Christmas Day
CN	2015-06-01	Children's Day
CN	2014-06-01	Children's Day
CN	2014-02-01	Spring Festival Golden Week holiday
CN	2016-08-17	Spirit Festival
CN	2015-08-28	Spirit Festival
CN	2015-10-03	National Day Golden Week holiday
CN	2016-09-15	Mid-Autumn Festival
CN	2016-06-09	Dragon Boat Festival
CN	2014-08-02	Double Seven Festival
CN	2015-10-21	Double Ninth Festival
CN	2014-10-02	Double Ninth Festival
CN	2014-01-31	Chinese New Year
CN	2014-08-01	Army Day
CN	2016-09-10	Teachers' Day
CN	2014-09-10	Teachers' Day
CN	2016-01-01	New Year's Day
CN	2016-10-03	National Day Golden Week holiday
CN	2014-09-07	Mid-Autumn Festival holiday
CN	2014-07-11	Maritime Day
CN	2015-11-08	Journalists' Day
CN	2016-03-08	International Women's Day
CN	2015-03-08	International Women's Day
CN	2014-03-08	International Women's Day
CN	2016-07-01	CPC Founding Day
CN	2015-12-25	Christmas Day
JP	2016-08-11	Mountain Day
JP	2014-02-11	National Foundation Day
JP	2015-11-23	Labor Thanksgiving Day
JP	2015-05-04	Greenery Day
JP	2014-05-04	Greenery Day
JP	2015-03-21	Spring Equinox
JP	2016-10-10	Sports Day
JP	2015-04-29	Shōwa Day
JP	2014-04-29	Shōwa Day
JP	2015-01-01	New Year's Day
JP	2015-02-11	National Foundation Day
JP	2014-11-24	Labor Thanksgiving Day observed
JP	2014-05-06	Greenery Day observed
JP	2016-05-04	Greenery Day
JP	2016-12-23	Emperor's Birthday
JP	2014-12-23	Emperor's Birthday
JP	2016-11-03	Culture Day
JP	2014-11-03	Culture Day
JP	2015-05-03	Constitution Memorial Day
JP	2016-05-05	Children's Day
JP	2014-05-05	Children's Day
JP	2016-03-21	Spring Equinox observed
JP	2015-10-12	Sports Day
JP	2016-04-29	Shōwa Day
JP	2016-09-19	Respect for the Aged Day
JP	2016-01-01	New Year's Day
JP	2014-11-23	Labor Thanksgiving Day
JP	2015-12-23	Emperor's Birthday
JP	2015-11-03	Culture Day
JP	2015-05-06	Constitution Memorial Day observed
JP	2016-05-03	Constitution Memorial Day
JP	2016-01-11	Coming of Age Day
JP	2016-03-20	Spring Equinox
JP	2014-03-21	Spring Equinox
JP	2014-10-13	Sports Day
JP	2016-07-18	Sea Day
JP	2015-07-20	Sea Day
JP	2014-07-21	Sea Day
JP	2015-09-21	Respect for the Aged Day
JP	2014-09-15	Respect for the Aged Day
JP	2014-01-01	New Year's Day
JP	2016-02-11	National Foundation Day
JP	2016-11-23	Labor Thanksgiving Day
JP	2014-05-03	Constitution Memorial Day
